file_old,ra_old,ra_new,ra_sim,dec_old,dec_new,dec_sim,obj_old,obj_new,obj_sim
OB_2507973_2020-01-01T05-19.fits,98.46231916666666,98.46231947719,98.46231947719,4.525448055555556,4.52544811014,4.52544811014,HD 46 485,HD  46485,HD  46485
OB_2507973_2020-01-01T05-29.fits,98.46231916666666,98.46231947719,98.46231947719,4.525448055555556,4.52544811014,4.52544811014,HD 46 485,HD  46485,HD  46485
OB_2508365_2019-11-17T05-06.fits,64.54492874999998,64.54492876703,64.54492876703,25.33260555555556,25.33260572905,25.33260572905,V V409 Tau,V* V409 Tau,V* V409 Tau
OB_2508365_2019-11-17T05-25.fits,64.54492874999998,64.54492876703,64.54492876703,25.33260555555556,25.33260572905,25.33260572905,V V409 Tau,V* V409 Tau,V* V409 Tau
OB_2508404_2019-12-19T04-32.fits,98.598205,98.5982054095,98.5982054095,2.534151111111111,2.53415120555,2.5341512055499997,HD 46 573,HD  46573,HD  46573
OB_2508404_2019-12-19T04-42.fits,98.598205,98.5982054095,98.5982054095,2.534151111111111,2.53415120555,2.5341512055499997,HD 46 573,HD  46573,HD  46573
OB_2508420_2019-12-22T05-49.fits,99.10786666666665,99.10786685874,99.10786685874,6.083187222222222,6.08318733265,6.08318733265,HD 46 966,HD  46966,HD  46966
OB_2508420_2019-12-22T06-00.fits,99.10786666666665,99.10786685874,99.10786685874,6.083187222222222,6.08318733265,6.08318733265,HD 46 966,HD  46966,HD  46966
OB_2508442_2019-12-24T06-12.fits,99.12085416666665,99.12085440616,99.12085440616,10.82246305555556,10.82246322903,10.822463229029998,Tyc0737-01170-1,TYC  737-1170-1,TYC  737-1170-1
OB_2508442_2019-12-24T06-24.fits,99.12085416666665,99.12085440616,99.12085440616,10.82246305555556,10.82246322903,10.822463229029998,Tyc0737-01170-1,TYC  737-1170-1,TYC  737-1170-1
OB_2508453_2019-12-30T04-58.fits,99.350175,99.35017535606,99.35017535606,6.135380277777778,6.13538030679,6.13538030679,HD 47 129,HD  47129,HD  47129
OB_2508453_2019-12-30T05-02.fits,99.350175,99.35017535606,99.35017535606,6.135380277777778,6.13538030679,6.13538030679,HD 47 129,HD  47129,HD  47129
OB_2508453_2019-12-30T05-13.fits,99.350175,99.35017535606,99.35017535606,6.135380277777778,6.13538030679,6.13538030679,HD 47 129,HD  47129,HD  47129
OB_2508571_2019-10-16T08-51.fits,108.30147375,108.30147400352,108.30147400352,-42.40975444444445,-42.40975462338001,-42.40975462338001,WASP-122,CD-42  3043,CD-42  3043
OB_2508594_2019-10-10T00-39.fits,289.4792979166667,289.47929793009,289.47929793009,-32.85998666666667,-32.85998681322,-32.85998681322,WASP-123,CD-33 14101,CD-33 14101
OB_2508610_2020-01-19T08-27.fits,203.10598375,203.10598389763,203.10598389762998,-42.47526777777778,-42.4752677956,-42.475267795600004,WASP-130,CD-41  7923,CD-41  7923
OB_2508669_2019-10-22T08-52.fits,99.65911333333331,99.65911369518,99.65911369518,1.613520833333334,1.61352089128,1.6135208912799999,HD 47 432,HD  47432,HD  47432
OB_2508699_2019-10-10T01-31.fits,25.87125291666667,25.87125303998,25.871253039980004,-14.14914333333333,-14.1491433967,-14.149143396700001,WASP-137,BD-14   324,BD-14   324
OB_2508705_2019-12-26T04-51.fits,100.243965,100.2439650514,100.2439650514,9.895067222222222,9.89506735806,9.89506735806,15 Mon B,*  15 Mon B,*  15 Mon B
OB_2508886_2019-12-30T06-11.fits,100.244415,100.2439650514,100.2439650514,9.89575611111111,9.89506735806,9.89506735806,15 Mon AaAb,*  15 Mon B,*  15 Mon B
