dp_id,obs_creator_did
ADP.2022-12-14T08:59:35.367,ivo://eso.org/origfile?OB_2255488_2019-06-27T01-06.fits
ADP.2022-12-14T08:59:35.368,ivo://eso.org/origfile?OB_2255588_2019-06-27T01-54.fits
ADP.2022-12-14T08:59:35.369,ivo://eso.org/origfile?OB_2255654_2019-06-27T00-12.fits
ADP.2022-12-14T08:59:35.370,ivo://eso.org/origfile?OB_2233878_2019-06-28T05-36.fits
ADP.2022-12-14T08:59:35.371,ivo://eso.org/origfile?OB_2233878_2019-06-28T05-53.fits
ADP.2022-12-14T08:59:35.372,ivo://eso.org/origfile?OB_2233893_2019-06-28T06-19.fits
ADP.2022-12-14T08:59:35.373,ivo://eso.org/origfile?OB_2233899_2019-06-28T06-37.fits
ADP.2022-12-14T08:59:35.374,ivo://eso.org/origfile?OB_2233919_2019-06-28T06-56.fits
ADP.2022-12-14T08:59:35.375,ivo://eso.org/origfile?OB_2233928_2019-06-28T07-13.fits
ADP.2022-12-14T08:59:35.376,ivo://eso.org/origfile?OB_2250014_2019-06-29T03-44.fits
ADP.2022-12-14T08:59:35.377,ivo://eso.org/origfile?OB_2250017_2019-06-29T04-14.fits
ADP.2022-12-14T08:59:35.378,ivo://eso.org/origfile?OB_2255585_2019-06-29T00-51.fits
ADP.2022-12-14T08:59:35.379,ivo://eso.org/origfile?OB_2255597_2019-06-29T02-28.fits
ADP.2022-12-14T08:59:35.380,ivo://eso.org/origfile?OB_2255609_2019-06-29T01-40.fits
ADP.2022-12-14T08:59:35.381,ivo://eso.org/origfile?OB_2302271_2019-06-29T08-09.fits
ADP.2022-12-14T08:59:35.382,ivo://eso.org/origfile?OB_2233860_2019-06-29T04-59.fits
ADP.2022-12-14T08:59:35.383,ivo://eso.org/origfile?OB_2233878_2019-06-29T05-25.fits
ADP.2022-12-14T08:59:35.384,ivo://eso.org/origfile?OB_2233893_2019-06-29T06-05.fits
ADP.2022-12-14T08:59:35.385,ivo://eso.org/origfile?OB_2233899_2019-06-29T06-43.fits
ADP.2022-12-14T08:59:35.386,ivo://eso.org/origfile?OB_2233902_2019-06-29T04-40.fits
ADP.2022-12-14T08:59:35.387,ivo://eso.org/origfile?OB_2233919_2019-06-29T07-00.fits
ADP.2022-12-14T08:59:35.388,ivo://eso.org/origfile?OB_2233928_2019-06-29T07-17.fits
ADP.2022-12-14T08:59:35.389,ivo://eso.org/origfile?OB_2250011_2019-06-29T03-11.fits
ADP.2022-12-14T08:59:35.390,ivo://eso.org/origfile?OB_2233860_2019-06-30T00-58.fits
ADP.2022-12-14T08:59:35.391,ivo://eso.org/origfile?OB_2233916_2019-06-30T00-36.fits
ADP.2022-12-14T08:59:35.392,ivo://eso.org/origfile?OB_2248776_2019-06-30T04-12.fits
ADP.2022-12-14T08:59:35.393,ivo://eso.org/origfile?OB_2255654_2019-06-29T23-56.fits
ADP.2022-12-14T08:59:35.394,ivo://eso.org/origfile?OB_2302271_2019-06-30T07-23.fits
ADP.2022-12-14T08:59:35.395,ivo://eso.org/origfile?OB_2233845_2019-07-04T23-18.fits
ADP.2022-12-14T08:59:35.396,ivo://eso.org/origfile?OB_2233848_2019-07-04T22-59.fits
ADP.2022-12-14T08:59:35.397,ivo://eso.org/origfile?OB_2248067_2019-07-05T02-21.fits
ADP.2022-12-14T08:59:35.398,ivo://eso.org/origfile?OB_2249871_2019-07-05T03-03.fits
ADP.2022-12-14T08:59:35.399,ivo://eso.org/origfile?OB_2286231_2019-07-04T23-59.fits
ADP.2022-12-14T08:59:35.400,ivo://eso.org/origfile?OB_2302271_2019-07-05T08-39.fits
ADP.2022-12-14T08:59:35.401,ivo://eso.org/origfile?OB_2230426_2019-07-05T23-32.fits
ADP.2022-12-14T08:59:35.402,ivo://eso.org/origfile?OB_2260263_2019-07-06T03-25.fits
ADP.2022-12-14T08:59:35.403,ivo://eso.org/origfile?OB_2295408_2019-07-06T01-13.fits
ADP.2022-12-14T08:59:35.404,ivo://eso.org/origfile?OB_2450666_2019-07-08T01-22.fits
ADP.2022-12-14T08:59:35.405,ivo://eso.org/origfile?OB_2248850_2019-07-09T02-05.fits
