file_old,ra_old,ra_new,ra_sim,dec_old,dec_new,dec_sim,obj_old,obj_new,obj_sim,diff_ra,diff_dec,diff_ra_newsim,diff_dec_newsim,diff_ra_newold,diff_dec_newold
OB_2139604_2019-03-05T08-40.fits,167.0645725,167.0634018,167.0634018,-77.56484611111111,-77.5647695,-77.5647695,V HP Cha,V* HP Cha,V* HP Cha,0.0,0.0,0.0,0.0,-4.214519999959521,0.275800000002846
OB_2141770_2019-01-16T08-20.fits,161.0006579166666,161.000559,161.00055899999998,-60.08607777777778,-60.08576100000001,-60.08576100000001,HD  93146,HD  93146,HD  93146,1.0231815394945443e-10,0.0,1.0231815394945443e-10,0.0,-0.35609999971484285,1.140399999968622
OB_2141770_2019-01-16T08-29.fits,161.0006579166666,161.000559,161.00055899999998,-60.08607777777778,-60.08576100000001,-60.08576100000001,HD  93146,HD  93146,HD  93146,1.0231815394945443e-10,0.0,1.0231815394945443e-10,0.0,-0.35609999971484285,1.140399999968622
OB_2233866_2019-06-14T06-50.fits,229.6407370833333,229.6334289861504,229.63342898615045,-47.87922722222222,-47.87527657942295,-47.87527657942295,mu. Lup,* mu. Lup,* mu. Lup,-2.0463630789890885e-10,0.0,-2.0463630789890885e-10,0.0,-26.30914985849131,14.222314077363762
OB_2233872_2019-06-16T04-32.fits,229.6407370833333,229.6334289861504,229.63342898615045,-47.87922722222222,-47.87527657942295,-47.87527657942295,mu. Lup,* mu. Lup,* mu. Lup,-2.0463630789890885e-10,0.0,-2.0463630789890885e-10,0.0,-26.30914985849131,14.222314077363762
OB_2233878_2019-06-28T05-36.fits,237.7397425,237.7397722634025,237.73977226340247,-33.62716527777778,-33.6271467626414,-33.627146762641395,chi Lup,* chi Lup,* chi Lup,1.0231815394945443e-10,-2.5579538487363607e-11,1.0231815394945443e-10,-2.5579538487363607e-11,0.10714824898059305,0.06665449095066833
OB_2233878_2019-06-28T05-53.fits,237.7397425,237.7397722634025,237.73977226340247,-33.62716527777778,-33.6271467626414,-33.627146762641395,chi Lup,* chi Lup,* chi Lup,1.0231815394945443e-10,-2.5579538487363607e-11,1.0231815394945443e-10,-2.5579538487363607e-11,0.10714824898059305,0.06665449095066833
OB_2233878_2019-06-29T05-25.fits,237.7397425,237.7397722634025,237.73977226340247,-33.62716527777778,-33.6271467626414,-33.627146762641395,chi Lup,* chi Lup,* chi Lup,1.0231815394945443e-10,-2.5579538487363607e-11,1.0231815394945443e-10,-2.5579538487363607e-11,0.10714824898059305,0.06665449095066833
OB_2260284_2019-11-26T07-20.fits,169.0008516666666,168.96893979564,168.96893979564,-57.54765972222222,-57.5298646555,-57.5298646555,GJ422,TYC 8624-931-1,TYC 8624-931-1,0.0,0.0,0.0,0.0,-114.88273569568719,64.06224019999911
OB_2262359_2019-01-23T08-14.fits,170.63197625,170.6317680357758,170.63176803577585,-53.36984916666667,-53.36836775071833,-53.368367750718335,HD  98922,** RST 1578B,** RST 1578B,-2.0463630789890885e-10,2.5579538487363607e-11,-2.0463630789890885e-10,2.5579538487363607e-11,-0.7495712071772687,5.333097414026611
